age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,date_birth,salary,remote_work
26,no,travel_frequently,443.03,sales,28,3,medical,364,nan,female,,medium,intermediate,sales_executive,low,,,9303.67,1,,12,"3,0",medium,part_time,0,,2,good,7,0,7,1997,42940.0,yes
31,no,,556.26,,12,3,medical,365,very_high,male,,high,intermediate,healthcare_representative,very_high,,,11681.39,0,,11,"3,0",high,part_time,2,10,2,very_low,9,8,5,1992,53914.11,no
32,no,,693.85,,3,4,medical,366,high,male,,high,intermediate,manufacturing_director,low,married,,14570.83,1,,12,"3,0",high,full_time,1,8,2,excellent,8,6,3,1991,67250.0,no
36,yes,travel_rarely,1065.28,,3,1,life_sciences,367,high,female,,medium,senior,sales_executive,very_high,married,8604.17,22370.83,1,,11,,low,full_time,1,,6,good,16,3,7,1987,103250.0,no
45,no,non_travel,458.82,,47,2,nan,368,nan,female,,high,intermediate,laboratory_technician,medium,,,9635.17,1,,12,"3,0",medium,part_time,0,,5,low,9,0,8,1978,44470.0,yes
39,no,travel_rarely,1032.49,,2,5,nan,369,low,female,129.06,very_high,senior,sales_executive,high,single,,21682.23,0,no,18,"3,0",very_high,part_time,0,9,3,good,8,0,7,1984,100071.84,no
36,no,non_travel,556.26,,8,4,technical_degree,370,low,female,,high,intermediate,sales_executive,very_high,divorced,4492.84,11681.39,4,no,13,,very_high,part_time,2,12,3,good,7,0,7,1987,53914.11,yes
46,no,,1118.93,,7,2,medical,371,very_high,female,139.87,high,senior,manufacturing_director,high,,9037.5,23497.5,6,,13,"3,0",medium,full_time,1,,3,good,8,0,7,1977,108450.0,no
54,no,travel_rarely,1032.49,,17,3,technical_degree,372,high,male,,high,senior,manufacturing_director,high,,8339.32,21682.23,8,,11,,high,part_time,1,22,2,good,10,0,8,1969,100071.84,yes
30,no,travel_rarely,1032.49,,8,2,nan,373,medium,male,,very_high,senior,research_director,low,,8339.32,21682.23,0,yes,12,"3,0",high,part_time,3,,4,low,8,1,7,1993,100071.84,yes
26,no,,564.57,,2,2,medical,374,very_high,female,70.57,very_high,intermediate,manufacturing_director,very_high,married,,11856.0,1,,12,"3,0",medium,full_time,0,,2,good,8,1,3,1997,54720.0,no
55,no,travel_frequently,658.77,,18,4,medical,375,high,female,,high,intermediate,healthcare_representative,medium,married,5320.83,13834.17,3,,14,"3,0",very_high,full_time,2,,3,good,8,6,7,1968,63850.0,yes
50,no,non_travel,654.85,sales,1,3,life_sciences,376,very_high,male,,high,intermediate,sales_executive,high,married,,13751.83,0,,12,"3,0",low,full_time,1,,3,good,18,0,13,1973,63470.0,yes
32,no,non_travel,290.04,,29,4,nan,377,very_high,male,,high,entry_level,laboratory_technician,high,single,,6090.75,9,no,12,"3,0",medium,part_time,0,10,2,good,8,7,7,1991,28111.13,yes
53,no,travel_frequently,776.39,,2,3,marketing,378,high,male,97.05,medium,senior,sales_executive,medium,,,16304.17,2,,12,"3,0",low,part_time,1,30,2,,15,6,12,1970,75250.0,yes
40,no,travel_rarely,556.26,,26,3,nan,379,high,female,,high,intermediate,sales_executive,low,married,4492.84,11681.39,1,,14,"3,0",medium,part_time,1,8,3,low,7,7,5,1983,53914.11,no
55,no,,1582.77,,2,1,nan,380,high,female,,medium,manager,manager,low,single,12783.92,33238.2,7,no,15,"3,0",medium,nan,0,,3,excellent,9,6,2,1968,,yes
28,yes,non_travel,1032.49,,24,2,nan,381,medium,female,,medium,senior,healthcare_representative,low,single,8339.32,21682.23,1,no,12,"3,0",low,part_time,0,10,2,low,10,1,9,1995,100071.84,no
28,no,travel_rarely,377.62,,10,3,other,382,high,male,,high,intermediate,research_scientist,high,single,3050.0,7930.0,3,no,13,"3,0",very_high,nan,0,,4,excellent,8,1,7,1995,,yes
35,yes,,1032.49,,4,3,technical_degree,383,very_high,female,,high,senior,sales_executive,low,,,21682.23,0,,22,"4,0",low,part_time,0,9,2,good,8,4,7,1988,100071.84,yes
33,yes,travel_frequently,556.26,research_&_development,36,4,medical,384,nan,male,69.53,medium,intermediate,research_scientist,high,single,4492.84,11681.39,1,no,22,"4,0",medium,part_time,0,14,4,good,13,3,8,1990,53914.11,yes
25,yes,,290.04,research_&_development,4,1,technical_degree,385,very_high,female,,high,entry_level,laboratory_technician,very_high,married,,6090.75,1,,15,,medium,part_time,1,7,3,excellent,7,5,6,1998,28111.13,yes
38,no,,901.75,sales,10,4,nan,386,high,female,,medium,senior,sales_executive,high,,7283.33,18936.67,0,yes,14,"3,0",medium,part_time,2,9,2,,8,2,7,1985,87400.0,yes
28,no,,1032.49,,12,3,nan,387,nan,male,,high,senior,manufacturing_director,medium,,,21682.23,0,,17,"3,0",medium,part_time,3,,3,low,9,1,7,1995,100071.84,yes
43,no,travel_frequently,1032.49,,27,3,life_sciences,388,high,male,129.06,high,senior,manufacturing_director,low,married,,21682.23,8,no,11,"3,0",high,part_time,1,18,1,good,8,0,1,1980,100071.84,no
39,yes,travel_frequently,1582.77,research_&_development,2,3,life_sciences,389,low,female,197.85,high,manager,healthcare_representative,very_high,,12783.92,33238.2,7,no,11,"3,0",very_high,full_time,3,21,4,good,18,11,5,1984,153407.07,no
40,no,travel_rarely,1973.98,,14,3,nan,390,high,female,,medium,executive,research_director,high,,,41453.67,1,no,14,,low,full_time,0,,2,,20,4,9,1983,191324.62,yes
29,no,travel_rarely,556.26,,8,1,medical,391,medium,female,,medium,intermediate,manufacturing_director,very_high,married,4492.84,11681.39,1,,15,"3,0",high,nan,1,10,2,low,10,1,2,1994,,yes
40,no,,1392.75,,32,4,nan,392,medium,male,,high,senior,research_director,high,,11249.17,29247.83,9,no,17,"3,0",high,full_time,0,20,3,low,18,2,13,1983,134990.0,no
26,no,travel_rarely,290.04,,3,4,nan,393,low,female,,very_high,entry_level,laboratory_technician,very_high,,2342.59,6090.75,1,,22,"4,0",medium,part_time,1,8,2,good,8,0,7,1997,28111.13,yes
35,no,travel_rarely,1032.49,,2,3,nan,394,high,female,,medium,senior,manufacturing_director,medium,divorced,8339.32,21682.23,2,no,18,"3,0",medium,nan,1,15,2,excellent,7,6,4,1988,,yes
53,no,,1973.98,research_&_development,7,2,medical,395,very_high,male,,high,executive,manager,high,divorced,15943.72,41453.67,3,no,18,"3,0",medium,full_time,1,26,6,good,7,4,7,1970,191324.62,no
35,no,,556.26,,17,4,life_sciences,396,high,female,,high,intermediate,sales_executive,low,,,11681.39,3,,15,"3,0",very_high,part_time,3,15,2,good,7,1,7,1988,53914.11,yes
33,no,,556.26,,25,3,medical,397,medium,male,,high,intermediate,sales_executive,high,,4492.84,11681.39,1,no,12,"3,0",low,part_time,1,,3,low,10,0,1,1990,53914.11,yes
36,no,,290.04,research_&_development,6,4,life_sciences,398,high,female,,low,entry_level,laboratory_technician,high,divorced,,6090.75,1,no,14,"3,0",high,part_time,1,,4,good,7,1,7,1987,28111.13,yes
30,no,travel_rarely,360.18,,7,4,life_sciences,399,high,female,45.02,high,intermediate,laboratory_technician,high,divorced,2909.17,7563.83,1,,13,,low,part_time,3,,4,low,10,8,9,1993,34910.0,yes
60,no,,538.57,,29,4,nan,400,nan,female,,very_high,intermediate,sales_executive,very_high,divorced,4350.0,11310.0,0,,18,"3,0",medium,nan,1,12,3,good,11,1,9,1963,,yes
32,no,,556.26,,2,2,life_sciences,401,very_high,male,69.53,high,intermediate,research_scientist,high,single,,11681.39,4,yes,14,"3,0",very_high,part_time,0,10,2,good,8,0,7,1991,53914.11,no
36,no,,1057.75,,1,3,technical_degree,402,high,male,,low,senior,manufacturing_director,low,divorced,8543.33,22212.67,2,yes,21,"4,0",high,full_time,1,17,2,good,7,7,7,1987,102520.0,yes
27,no,travel_rarely,290.04,,14,3,nan,403,low,female,,high,entry_level,research_scientist,low,,2342.59,6090.75,1,,14,"3,0",very_high,nan,2,,3,low,9,6,8,1996,,yes
43,no,,2036.67,research_&_development,3,3,life_sciences,404,high,female,,low,executive,research_director,very_high,,16450.0,42770.0,3,no,14,"3,0",medium,full_time,1,,2,good,8,0,7,1980,197400.0,yes
29,no,travel_rarely,1582.77,,1,3,nan,405,very_high,male,,medium,manager,research_director,very_high,divorced,,33238.2,3,no,14,"3,0",medium,full_time,2,9,2,low,7,1,7,1994,153407.07,yes
59,no,,1032.49,,24,4,nan,406,nan,female,,high,senior,manufacturing_director,very_high,single,8339.32,21682.23,6,no,12,"3,0",very_high,part_time,0,,6,low,9,5,4,1964,100071.84,no
43,no,travel_rarely,1032.49,,4,4,marketing,407,very_high,male,,medium,senior,sales_executive,very_high,single,8339.32,21682.23,3,no,14,"3,0",very_high,part_time,0,23,3,excellent,21,15,17,1980,100071.84,yes
44,yes,travel_rarely,1032.49,,15,3,medical,408,low,male,129.06,high,senior,healthcare_representative,very_high,married,8339.32,21682.23,1,,11,"3,0",very_high,part_time,1,,2,good,10,0,5,1979,100071.84,yes
29,yes,,290.04,research_&_development,7,3,technical_degree,409,medium,male,,high,entry_level,laboratory_technician,high,divorced,2342.59,6090.75,3,yes,13,"3,0",low,nan,2,10,2,good,7,7,7,1994,,yes
32,no,travel_rarely,640.61,,8,3,nan,410,high,female,,very_high,intermediate,sales_executive,very_high,married,5174.17,13452.83,1,,15,"3,0",high,full_time,2,,4,excellent,10,0,8,1991,62090.0,no
36,no,travel_rarely,731.92,,10,4,technical_degree,411,very_high,male,,high,senior,healthcare_representative,high,married,,15370.33,3,no,12,"3,0",low,part_time,0,,0,good,7,1,7,1987,70940.0,yes
52,yes,,1032.49,sales,5,3,nan,412,medium,female,,high,senior,sales_executive,medium,single,8339.32,21682.23,9,yes,19,"3,0",high,part_time,0,,2,low,8,7,7,1971,100071.84,yes
39,no,travel_rarely,467.79,,33,2,nan,413,low,female,,high,intermediate,manufacturing_director,high,single,3778.33,9823.67,0,,11,"3,0",low,nan,0,,6,,8,1,7,1984,45340.0,yes
34,no,,876.98,,9,3,nan,414,very_high,female,,high,senior,healthcare_representative,very_high,,7083.33,18416.67,0,,11,,very_high,part_time,1,10,0,low,9,1,6,1989,85000.0,yes
38,no,,556.26,,2,2,life_sciences,415,medium,male,,high,intermediate,sales_executive,low,,,11681.39,3,,15,"3,0",very_high,nan,1,11,3,good,7,1,7,1985,53914.11,yes
36,no,travel_frequently,478.63,sales,12,3,marketing,416,nan,male,,very_high,intermediate,sales_executive,low,marreid,3865.83,10051.17,2,no,16,"3,0",very_high,part_time,1,,2,low,15,6,13,1987,46390.0,yes
35,no,,553.33,,1,3,nan,417,very_high,male,,medium,intermediate,laboratory_technician,very_high,,4469.17,11619.83,0,no,12,"3,0",medium,part_time,1,10,0,good,9,0,0,1988,53630.0,no
55,yes,,1582.77,,13,4,nan,418,low,female,,very_high,manager,sales_executive,high,,12783.92,33238.2,6,,17,"3,0",high,full_time,0,,2,low,19,3,8,1968,153407.07,yes
34,no,,556.26,,29,3,nan,419,medium,female,,high,intermediate,laboratory_technician,high,,4492.84,11681.39,4,,13,"3,0",low,part_time,2,10,1,good,8,7,7,1989,53914.11,no
43,no,,421.06,,6,3,medical,420,low,male,,medium,intermediate,research_scientist,high,single,3400.83,8842.17,1,yes,14,"3,0",low,part_time,0,20,3,very_low,20,1,8,1980,40810.0,no
42,no,travel_rarely,1582.77,,10,3,human_resources,421,high,male,,high,manager,manager,low,married,12783.92,33238.2,0,,14,"3,0",high,full_time,1,21,5,good,20,0,9,1981,153407.07,no
26,no,travel_rarely,369.16,,7,3,nan,422,high,female,,very_high,entry_level,laboratory_technician,low,single,,7752.33,0,no,12,"3,0",very_high,full_time,0,8,2,good,7,0,7,1997,35780.0,yes
29,yes,,1032.49,,14,1,other,423,high,male,,high,senior,healthcare_representative,very_high,single,8339.32,21682.23,0,yes,12,"3,0",low,part_time,0,,1,good,8,7,7,1994,100071.84,yes
54,no,,1787.81,research_&_development,1,3,nan,424,very_high,male,223.48,high,manager,research_director,very_high,,,37544.0,6,,19,"3,0",very_high,full_time,0,29,3,low,20,12,7,1969,173280.0,no
55,no,,1582.77,,1,4,nan,425,medium,female,,very_high,manager,research_director,very_high,divorced,12783.92,33238.2,2,no,13,"3,0",very_high,full_time,2,31,4,excellent,7,0,0,1968,153407.07,yes
40,no,non_travel,556.26,,9,4,other,426,high,female,,high,intermediate,laboratory_technician,high,,4492.84,11681.39,3,no,11,"3,0",high,part_time,2,11,2,,8,0,7,1983,53914.11,yes
31,no,,1113.56,,8,2,nan,427,low,female,,high,senior,sales_executive,very_high,divorced,8994.17,23384.83,1,,18,,low,full_time,1,13,5,good,13,9,9,1992,107930.0,yes
46,yes,,1032.49,,9,3,marketing,428,low,female,,high,senior,sales_executive,very_high,divorced,8339.32,21682.23,4,no,11,"3,0",low,nan,1,28,1,excellent,7,4,3,1977,,yes
45,no,travel_rarely,1119.55,,20,3,medical,429,medium,female,,low,senior,healthcare_representative,low,,9042.5,23510.5,2,yes,18,"3,0",medium,full_time,1,,2,good,7,0,7,1978,108510.0,no
49,no,travel_rarely,1079.83,,7,4,life_sciences,430,high,female,134.98,high,senior,healthcare_representative,medium,divorced,,22676.33,3,,14,"3,0",medium,full_time,2,29,3,good,8,0,7,1974,104660.0,no
29,no,travel_rarely,556.26,,19,3,nan,431,high,female,69.53,medium,intermediate,sales_executive,high,,4492.84,11681.39,1,,14,"3,0",high,part_time,2,10,3,good,10,0,4,1994,53914.11,yes
29,yes,,243.7,,1,4,technical_degree,432,low,female,,medium,entry_level,research_scientist,low,single,,5117.67,6,no,13,"3,0",high,part_time,0,,2,very_low,9,0,7,1994,23620.0,yes
29,no,,556.26,,8,1,other,433,high,male,,low,intermediate,healthcare_representative,low,,,11681.39,3,no,13,"3,0",high,part_time,1,9,3,good,7,0,7,1994,53914.11,yes
40,no,travel_rarely,1582.77,human_resources,6,2,nan,434,high,female,197.85,high,manager,manager,very_high,single,12783.92,33238.2,1,yes,21,"4,0",very_high,full_time,0,21,2,good,21,7,7,1983,153407.07,yes
48,no,,664.34,sales,16,4,life_sciences,435,high,male,,high,intermediate,sales_executive,high,divorced,,13951.17,8,no,14,"3,0",high,full_time,1,18,2,,8,7,7,1975,64390.0,yes
53,yes,,1032.49,,2,5,nan,436,high,male,,medium,senior,manufacturing_director,very_high,married,,21682.23,0,,16,"3,0",medium,part_time,1,,4,good,33,1,9,1970,100071.84,yes
44,no,,1973.98,,7,3,medical,437,medium,male,,high,executive,research_director,very_high,,,41453.67,0,yes,14,,very_high,nan,1,,4,low,22,1,10,1979,191324.62,no
45,no,,595.21,,5,5,nan,438,high,male,74.4,low,intermediate,laboratory_technician,low,,,12499.5,1,,14,"3,0",low,full_time,0,10,3,good,10,1,4,1978,57690.0,no
45,no,non_travel,452.42,,26,3,marketing,439,low,female,,medium,intermediate,sales_executive,low,,3654.17,9500.83,1,,15,,low,nan,1,10,2,,10,4,5,1978,,no
34,no,travel_frequently,556.26,,10,4,nan,440,high,female,,very_high,intermediate,manufacturing_director,very_high,,4492.84,11681.39,1,,13,"3,0",low,part_time,1,9,3,,9,7,2,1989,53914.11,yes
39,no,,556.26,research_&_development,10,5,medical,441,medium,female,,high,intermediate,manufacturing_director,low,,4492.84,11681.39,2,,13,"3,0",very_high,nan,3,,3,good,7,7,7,1984,,no
27,no,,419.51,research_&_development,36,3,nan,442,nan,female,,medium,entry_level,laboratory_technician,low,divorced,3388.33,8809.67,1,no,11,"3,0",low,full_time,2,7,3,good,7,0,7,1996,40660.0,yes
45,no,travel_rarely,556.26,,2,2,nan,443,very_high,male,,medium,intermediate,manufacturing_director,very_high,divorced,4492.84,11681.39,1,,19,"3,0",low,nan,2,10,3,good,10,3,9,1978,,yes
44,no,,556.26,,1,5,nan,444,low,female,,high,intermediate,human_resources,very_high,married,4492.84,11681.39,4,yes,11,"3,0",high,nan,0,14,3,good,10,0,2,1979,,yes
25,no,,537.13,,2,1,life_sciences,445,very_high,female,67.14,very_high,intermediate,manufacturing_director,high,divorced,4338.33,11279.67,1,,17,"3,0",high,part_time,2,7,6,good,7,0,7,1998,52060.0,no
49,no,,1582.77,,1,3,nan,446,high,female,,high,manager,manager,high,single,12783.92,33238.2,4,,14,"3,0",low,full_time,0,23,2,good,8,0,0,1974,153407.07,yes
48,yes,travel_frequently,273.93,,7,2,nan,447,very_high,male,,high,entry_level,sales_representative,high,,2212.5,5752.5,2,,11,,high,nan,2,19,3,good,9,7,7,1975,,no
26,no,,265.16,,7,3,medical,448,very_high,female,,high,entry_level,laboratory_technician,very_high,,2141.67,5568.33,1,no,20,"4,0",high,part_time,0,7,5,good,7,5,7,1997,25700.0,yes
44,no,travel_rarely,1032.49,,2,3,life_sciences,449,high,male,129.06,very_high,senior,healthcare_representative,very_high,,8339.32,21682.23,1,,19,,medium,part_time,1,,2,good,8,6,7,1979,100071.84,yes
36,no,,464.49,,2,4,nan,450,high,male,58.06,high,intermediate,sales_representative,very_high,single,3751.67,9754.33,3,,15,,high,part_time,0,17,2,low,13,6,7,1987,45020.0,yes
46,no,,556.26,research_&_development,13,4,nan,451,high,female,69.53,high,intermediate,healthcare_representative,medium,single,4492.84,11681.39,6,no,14,"3,0",very_high,part_time,0,19,3,good,10,0,9,1977,53914.11,yes
35,no,,556.26,,27,4,life_sciences,452,very_high,female,,high,intermediate,manufacturing_director,high,married,4492.84,11681.39,2,,16,"3,0",medium,part_time,1,17,3,good,7,0,7,1988,53914.11,yes
30,no,travel_frequently,512.57,,2,4,nan,453,very_high,male,,medium,entry_level,research_scientist,low,,4140.0,10764.0,0,,16,"3,0",very_high,nan,0,10,2,,9,0,7,1993,49680.0,no
30,no,,1032.49,,15,2,marketing,454,high,female,,medium,senior,sales_executive,low,,8339.32,21682.23,2,no,11,"3,0",low,part_time,1,,2,good,7,1,7,1993,100071.84,yes
33,no,non_travel,531.04,,2,3,marketing,455,very_high,male,,high,intermediate,sales_executive,medium,,4289.17,11151.83,8,no,15,"3,0",very_high,part_time,0,13,2,low,11,1,7,1990,51470.0,yes
32,no,,280.43,,5,4,nan,456,medium,female,35.05,high,entry_level,research_scientist,medium,single,2265.0,5889.0,2,no,14,"3,0",medium,part_time,0,12,3,good,7,0,7,1991,27180.0,yes
43,no,travel_rarely,365.13,,2,3,life_sciences,457,medium,female,,high,entry_level,human_resources,very_high,,2949.17,7667.83,0,no,13,"3,0",medium,nan,0,,5,good,9,1,8,1980,,no
31,no,travel_rarely,564.16,,29,4,marketing,458,low,male,,medium,intermediate,sales_executive,very_high,,4556.67,11847.33,1,,14,"3,0",low,full_time,2,,3,good,12,5,7,1992,54680.0,yes
35,yes,,599.75,,27,3,nan,459,high,female,,high,intermediate,sales_executive,very_high,,4844.17,12594.83,1,,18,"3,0",very_high,nan,0,,2,good,10,7,7,1988,,no
35,no,non_travel,556.26,research_&_development,2,2,medical,460,medium,female,,high,intermediate,manufacturing_director,very_high,divorced,4492.84,11681.39,2,no,14,"3,0",high,nan,1,15,6,good,7,1,7,1988,53914.11,no
30,no,,997.39,,10,3,medical,461,low,male,,high,senior,manufacturing_director,high,single,8055.83,20945.17,9,no,14,"3,0",medium,part_time,0,9,3,good,7,0,2,1993,96670.0,no
46,yes,travel_rarely,556.26,,19,2,medical,462,very_high,male,,high,intermediate,healthcare_representative,medium,married,4492.84,11681.39,4,no,22,"4,0",very_high,nan,1,13,2,excellent,9,3,7,1977,,no
45,no,non_travel,531.76,,2,4,nan,463,high,male,,high,intermediate,sales_executive,high,married,,11167.0,4,,22,"4,0",medium,part_time,2,10,3,excellent,8,5,7,1978,51540.0,no
43,no,travel_frequently,585.52,,2,4,life_sciences,464,low,female,73.19,high,intermediate,sales_executive,very_high,married,4729.17,12295.83,1,,20,"4,0",high,full_time,1,7,5,good,7,7,7,1980,56750.0,no
46,yes,,754.62,,10,3,life_sciences,465,high,male,,high,senior,sales_executive,medium,,6095.0,15847.0,5,,21,"4,0",high,part_time,3,14,2,good,8,0,7,1977,73140.0,yes
40,no,travel_rarely,1582.77,research_&_development,1,4,nan,466,low,female,,high,manager,manager,low,,12783.92,33238.2,2,,11,"3,0",low,nan,1,22,3,,19,11,16,1983,,yes
27,no,travel_rarely,556.26,sales,2,2,nan,467,low,male,,very_high,intermediate,sales_executive,high,single,4492.84,11681.39,0,no,14,"3,0",medium,part_time,0,9,5,low,8,0,7,1996,53914.11,no
42,no,,1032.49,,6,3,medical,468,high,female,,high,senior,research_director,low,married,8339.32,21682.23,9,no,13,"3,0",medium,nan,1,18,3,excellent,13,5,7,1981,,yes
26,no,travel_frequently,290.04,,6,3,other,469,high,female,36.25,very_high,entry_level,laboratory_technician,very_high,married,2342.59,6090.75,0,no,18,"3,0",low,part_time,1,8,3,good,7,7,7,1997,28111.13,yes
28,no,travel_frequently,556.26,,1,2,life_sciences,470,high,female,69.53,medium,intermediate,sales_executive,very_high,married,,11681.39,1,,12,"3,0",high,part_time,1,7,2,good,7,0,7,1995,53914.11,yes
47,no,,556.26,,14,4,nan,471,high,female,69.53,high,intermediate,research_scientist,medium,married,4492.84,11681.39,8,,18,"3,0",high,part_time,1,,4,excellent,8,1,7,1976,53914.11,no
34,no,travel_rarely,1032.49,,13,4,medical,472,very_high,female,,high,senior,sales_executive,high,divorced,8339.32,21682.23,1,no,18,"3,0",high,part_time,1,9,2,low,8,1,1,1989,100071.84,yes
26,no,,290.04,research_&_development,1,3,medical,473,high,female,,high,entry_level,laboratory_technician,low,single,2342.59,6090.75,0,no,13,"3,0",very_high,part_time,0,8,6,,7,7,6,1997,28111.13,yes
27,no,travel_rarely,556.26,,9,3,nan,474,very_high,female,,high,intermediate,sales_executive,very_high,,,11681.39,1,,14,"3,0",low,part_time,0,,5,,7,0,7,1996,53914.11,no
31,yes,travel_frequently,556.26,sales,26,4,marketing,475,low,female,,high,intermediate,sales_executive,very_high,,4492.84,11681.39,1,yes,11,"3,0",high,part_time,0,10,4,good,10,0,8,1992,53914.11,yes
33,no,travel_frequently,556.26,,7,2,life_sciences,476,very_high,female,,high,intermediate,healthcare_representative,high,divorced,4492.84,11681.39,1,,20,,high,nan,3,9,2,good,9,2,8,1990,,yes
31,no,,1032.49,,10,3,nan,477,high,male,,high,senior,research_director,high,married,8339.32,21682.23,4,no,20,"4,0",high,part_time,1,13,2,excellent,11,4,8,1992,100071.84,yes
35,no,,525.98,,9,4,medical,478,medium,female,,high,intermediate,research_scientist,high,,,11045.67,1,no,19,"3,0",medium,part_time,0,10,5,good,10,0,8,1988,50980.0,yes
33,no,travel_rarely,556.26,,15,2,nan,479,medium,male,,high,intermediate,healthcare_representative,very_high,married,4492.84,11681.39,0,yes,13,,low,part_time,1,,6,good,9,8,1,1990,53914.11,yes
39,no,travel_rarely,556.26,,24,1,life_sciences,480,low,female,,high,intermediate,research_scientist,very_high,single,4492.84,11681.39,7,no,13,,low,nan,0,,2,good,7,1,7,1984,,no
36,no,travel_rarely,1032.49,,46,3,nan,481,nan,male,129.06,medium,senior,sales_executive,very_high,marreid,,21682.23,0,no,19,"3,0",high,part_time,2,10,2,good,9,3,4,1987,100071.84,yes
41,no,travel_rarely,1400.08,,28,4,life_sciences,482,low,male,,medium,manager,manufacturing_director,medium,married,11308.33,29401.67,0,no,23,,high,full_time,1,21,3,good,20,0,10,1982,135700.0,yes
34,no,,692.51,sales,28,3,marketing,483,very_high,male,,medium,intermediate,sales_executive,high,married,,14542.67,1,no,21,"4,0",very_high,full_time,2,8,2,good,8,1,7,1989,67120.0,no
38,no,travel_rarely,556.26,,10,2,nan,484,low,male,,high,intermediate,sales_executive,very_high,married,4492.84,11681.39,1,no,11,"3,0",high,nan,1,10,1,good,10,1,9,1985,,yes
39,no,travel_rarely,1030.82,,6,1,nan,485,very_high,female,,medium,senior,healthcare_representative,low,,8325.83,21647.17,4,,15,"3,0",low,part_time,1,,5,good,7,1,7,1984,99910.0,yes
34,no,travel_rarely,1032.49,,7,4,nan,486,low,male,,high,senior,research_director,medium,single,,21682.23,0,no,11,,high,part_time,0,,4,good,12,2,11,1989,100071.84,no
44,no,travel_rarely,1057.33,,7,4,medical,487,low,male,,medium,senior,healthcare_representative,very_high,married,8540.0,22204.0,3,,14,,very_high,full_time,1,24,4,good,22,5,17,1979,102480.0,yes
46,no,,556.26,,5,4,nan,488,low,female,,high,intermediate,sales_executive,very_high,single,4492.84,11681.39,4,,21,,high,part_time,0,14,4,good,9,0,8,1977,53914.11,yes
41,no,travel_frequently,1582.77,research_&_development,10,3,life_sciences,489,very_high,female,197.85,medium,manager,manager,low,divorced,,33238.2,4,,13,"3,0",medium,full_time,1,,2,low,7,7,7,1982,153407.07,no
39,no,,1128.52,research_&_development,2,4,nan,490,high,male,,high,senior,healthcare_representative,high,single,9115.0,23699.0,0,no,25,"4,0",very_high,nan,0,20,1,good,19,11,8,1984,,no
42,no,travel_rarely,267.53,,2,3,medical,491,very_high,male,,medium,entry_level,laboratory_technician,low,divorced,2160.83,5618.17,0,yes,11,"3,0",high,part_time,1,10,4,good,9,7,8,1981,25930.0,yes
33,no,travel_frequently,1225.51,research_&_development,5,4,nan,492,very_high,male,,high,senior,manager,medium,married,9898.33,25735.67,6,,11,,medium,nan,2,12,2,good,10,8,8,1990,,yes
35,no,travel_rarely,835.2,,5,4,technical_degree,493,high,female,,high,senior,manufacturing_director,medium,single,6745.83,17539.17,0,no,13,"3,0",very_high,part_time,0,17,5,good,16,0,13,1988,80950.0,yes
33,yes,travel_rarely,1032.49,,15,1,medical,494,medium,female,,high,senior,manager,high,married,,21682.23,7,,12,"3,0",very_high,part_time,0,15,2,excellent,7,7,7,1990,100071.84,yes
40,no,travel_rarely,1582.77,,6,3,life_sciences,495,medium,male,,high,manager,manufacturing_director,high,single,,33238.2,7,no,15,"3,0",high,full_time,0,22,3,good,20,5,13,1983,153407.07,no
41,no,travel_rarely,1973.98,,10,4,human_resources,496,medium,female,,medium,executive,manager,very_high,divorced,15943.72,41453.67,3,no,15,"3,0",medium,full_time,3,23,2,low,21,12,6,1982,191324.62,no
27,no,,556.26,,7,3,nan,497,very_high,male,,medium,intermediate,healthcare_representative,low,,,11681.39,8,no,19,"3,0",low,part_time,0,,2,very_low,7,0,7,1996,53914.11,no
52,no,travel_rarely,1739.11,,3,4,marketing,498,high,female,,medium,manager,manager,low,,14046.67,36521.33,1,,11,"3,0",low,full_time,0,,3,excellent,34,1,16,1971,168560.0,yes
51,no,travel_rarely,1582.77,,26,4,marketing,499,low,male,197.85,high,manager,manager,high,married,12783.92,33238.2,2,no,14,"3,0",high,full_time,1,,2,low,20,4,17,1972,153407.07,no
47,no,travel_rarely,468.1,,2,2,marketing,500,high,male,,high,intermediate,sales_executive,very_high,,3780.83,9830.17,0,,22,"4,0",low,part_time,1,8,2,good,7,7,7,1976,45370.0,yes
50,no,non_travel,1849.3,research_&_development,2,4,nan,501,low,female,,high,manager,manager,low,divorced,,38835.33,1,,11,"3,0",very_high,full_time,1,31,3,good,31,14,7,1973,179240.0,no
35,no,travel_rarely,414.14,research_&_development,21,1,life_sciences,502,very_high,male,,high,intermediate,healthcare_representative,very_high,married,3345.0,8697.0,1,,25,"4,0",very_high,part_time,1,10,2,very_low,10,0,7,1988,40140.0,yes
39,no,travel_rarely,1314.65,,1,1,nan,503,very_high,male,164.33,medium,manager,manufacturing_director,very_high,married,10618.33,27607.67,1,no,16,"3,0",high,full_time,1,,3,good,21,11,8,1984,127420.0,yes
39,no,travel_frequently,1032.49,,22,3,medical,504,very_high,male,,high,senior,manufacturing_director,low,single,8339.32,21682.23,1,,13,"3,0",high,part_time,0,,2,good,21,2,8,1984,100071.84,no
