,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,numberchildren,remotework
444,25,No,,537.1269841269842,,2,1,Life Sciences,1,445,4,0,67.14087301587303,4,2, MaNuFACtuRInG dirECTOR ,3,Divorced,"4338,33$","11279,67$",1,,,17,"3,0",3,Part Time,2,"7,0",6,"3,0",7,,0,7,"4338,33$",1998,"52060,00$",,,False
445,49,No,,1582.7713464696226,,1,3,,1,446,3,0,,3,4, MANAgEr ,3,Single,"12783,92$","33238,20$",4,Y,,14,"3,0",1,Full Time,0,"23,0",2,"3,0",8,,0,0,"12783,92$",1974,"153407,07$",,,True
446,48,Yes,travel_frequently,273.92857142857144,,7,2,,1,447,4,1,,3,1, SaLeS rEPRESENTATive ,3,,"2212,50$","5752,50$",2,,,11,,3,,2,"19,0",3,"3,0",9,,7,7,"2212,50$",1975,,,,0
447,26,No,,265.1587301587302,,7,3,Medical,1,448,4,0,,3,1, lAboRAtORy TecHnIcIaN ,4,,"2141,67$","5568,33$",1,,No,20,"4,0",3,Part Time,0,"7,0",5,"3,0",7,,5,7,"2141,67$",1997,"25700,00$",,,1
448,44,No,travel_rarely,1032.4872861766066,,2,3,Life Sciences,1,449,3,1,129.06091077207583,4,3, hEALThCare RepreseNtATIVE ,4,,"8339,32$","21682,23$",1,,,19,,2,Part Time,1,,2,"3,0",8,,6,7,"8339,32$",1979,"100071,84$",,,1
449,36,No,,464.4920634920635,,2,4,,1,450,3,1,58.06150793650794,3,2, SAles REpReSENtaTiVE ,4,Single,"3751,67$","9754,33$",3,Y,,15,,3,Part Time,0,"17,0",2,"2,0",13,,6,7,"3751,67$",1987,"45020,00$",,,Yes
450,46,No,,556.2566609977324, Research & Development ,13,4,,1,451,3,0,69.53208262471655,3,2, hEalTHcARe RePrEseNTATive ,2,Single,"4492,84$","11681,39$",6,,No,14,"3,0",4,Part Time,0,"19,0",3,"3,0",10,,0,9,"4492,84$",1977,"53914,11$", hEalTHcARe RePrEseNTATive  -  Research & Development ,,True
451,35,No,,556.2566609977324,,27,4,Life Sciences,1,452,4,0,,3,2, MaNUFaCtuRiNG DirEctOr ,3,Married,"4492,84$","11681,39$",2,Y,,16,"3,0",2,Part Time,1,"17,0",3,"3,0",7,,0,7,"4492,84$",1988,"53914,11$",,,Yes
452,30,No,travel_frequently,512.5714285714286,,2,4,,1,453,4,1,,2,1, REsEArCh scientiST ,1,,"4140,00$","10764,00$",0,Y,,16,"3,0",4,,0,"10,0",2,,9,,0,7,"4140,00$",1993,"49680,00$",,,False
453,30,No,,1032.4872861766066,,15,2,Marketing,1,454,3,0,,2,3, sALeS eXeCuTivE ,1,,"8339,32$","21682,23$",2,,No,11,"3,0",1,Part Time,1,,2,"3,0",7,,1,7,"8339,32$",1993,"100071,84$",,,1
454,33,No,non-travel,531.0396825396825,,2,3,Marketing,1,455,4,1,,3,2, sALEs EXEcUtIvE ,2,,"4289,17$","11151,83$",8,,No,15,"3,0",4,Part Time,0,"13,0",2,"2,0",11,,1,7,"4289,17$",1990,"51470,00$",,,True
455,32,No,,280.42857142857144,,5,4,,1,456,2,0,35.05357142857143,3,1, REsEarCH SciENtIST ,2,Single,"2265,00$","5889,00$",2,Y,No,14,"3,0",2,Part Time,0,"12,0",3,"3,0",7,,0,7,"2265,00$",1991,"27180,00$",,,1
456,43,No,travel_rarely,365.1349206349206,,2,3,Life Sciences,1,457,2,0,,3,1, HuMAN reSourcEs ,4,,"2949,17$","7667,83$",0,Y,No,13,"3,0",2,,0,,5,"3,0",9,,1,8,"2949,17$",1980,,,,False
457,31,No,travel_rarely,564.1587301587302,,29,4,Marketing,1,458,1,1,,2,2, SALeS ExECUtIVE ,4,,"4556,67$","11847,33$",1,,,14,"3,0",1,Full Time,2,,3,"3,0",12,,5,7,"4556,67$",1992,"54680,00$",,,1
458,35,Yes,,599.7539682539682,,27,3,,1,459,3,0,,3,2, SaLEs EXEcuTIVe ,4,,"4844,17$","12594,83$",1,,,18,"3,0",4,,0,,2,"3,0",10,,7,7,"4844,17$",1988,,,,False
459,35,No,non-travel,556.2566609977324, Research & Development ,2,2,Medical,1,460,2,0,,3,2, mANuFActuring DireCtOR ,4,Divorced,"4492,84$","11681,39$",2,,No,14,"3,0",3,,1,"15,0",6,"3,0",7,,1,7,"4492,84$",1988,"53914,11$", mANuFActuring DireCtOR  -  Research & Development ,,0
460,30,No,,997.3888888888888,,10,3,Medical,1,461,1,1,,3,3, MANufaCturiNg dIrECtOr ,3,Single,"8055,83$","20945,17$",9,Y,No,14,"3,0",2,Part Time,0,"9,0",3,"3,0",7,,0,2,"8055,83$",1993,"96670,00$",,,False
461,46,Yes,travel_rarely,556.2566609977324,,-19,2,Medical,1,462,4,1,,3,2, heALThcare RePreSeNtatIve ,2,Married,"4492,84$","11681,39$",4,,No,22,"4,0",4,,1,"13,0",2,"4,0",9,"7,0",3,7,"4492,84$",1977,,,,0
462,45,No,non-travel,531.7619047619048,,2,4,,1,463,3,1,,3,2, sAlEs EXeCUTive ,3,Married,,"11167,00$",4,Y,,22,"4,0",2,Part Time,2,"10,0",3,"4,0",8,,5,7,,1978,"51540,00$",,,False
463,43,No,travel_frequently,585.515873015873,,2,4,Life Sciences,1,464,1,0,73.18948412698413,3,2, SALEs eXecuTIVE ,4,Married,"4729,17$","12295,83$",1,,,20,"4,0",3,Full Time,1,"7,0",5,"3,0",7,,7,7,"4729,17$",1980,"56750,00$",,,0
464,46,Yes,,754.6190476190477,,10,3,Life Sciences,1,465,3,1,,3,3, saLES exeCuTIVe ,2,,"6095,00$","15847,00$",5,Y,,21,"4,0",3,Part Time,3,"14,0",2,"3,0",8,,0,7,"6095,00$",1977,"73140,00$",,,1
465,40,No,travel_rarely,1582.7713464696226, Research & Development ,1,4,,1,466,1,0,,3,4, MaNagEr ,1,,"12783,92$","33238,20$",2,Y,,11,"3,0",1,,1,"22,0",3,,19,,11,16,"12783,92$",1983,, MaNagEr  -  Research & Development ,,True
466,27,No,travel_rarely,556.2566609977324, Sales ,2,2,,1,467,1,1,,4,2, SaLeS exeCuTIVe ,3,Single,"4492,84$","11681,39$",0,Y,No,14,"3,0",2,Part Time,0,"9,0",5,"2,0",8,,0,7,"4492,84$",1996,"53914,11$", SaLeS exeCuTIVe  -  Sales ,,False
467,42,No,,1032.4872861766066,,6,3,Medical,1,468,3,0,,3,3, rESEARCh diReCtoR ,1,Married,"8339,32$","21682,23$",9,Y,No,13,"3,0",2,,1,"18,0",3,"4,0",13,,5,7,"8339,32$",1981,,,,1
468,26,No,travel_frequently,290.03550973654063,,6,3,Other,1,469,3,0,36.25443871706758,4,1, LaBorAtoRY tEchNIciaN ,4,Married,"2342,59$","6090,75$",0,,No,18,"3,0",1,Part Time,1,"8,0",3,"3,0",7,,7,7,"2342,59$",1997,"28111,13$",,,True
469,28,No,travel_frequently,556.2566609977324,,1,2,Life Sciences,1,470,3,0,69.53208262471655,2,2, SaLeS ExECutiVe ,4,Married,,"11681,39$",1,,,12,"3,0",3,Part Time,1,"7,0",2,"3,0",7,,0,7,,1995,"53914,11$",,,True
470,47,No,,556.2566609977324,,14,4,,1,471,3,0,69.53208262471655,3,2, ResEaRCh ScIENTiST ,2,Married,"4492,84$","11681,39$",8,Y,,18,"3,0",3,Part Time,1,,4,"4,0",8,,1,7,"4492,84$",1976,"53914,11$",,,0
471,34,No,travel_rarely,1032.4872861766066,,13,4,Medical,1,472,4,0,,3,3, SalES ExecutivE ,3,Divorced,"8339,32$","21682,23$",1,,No,18,"3,0",3,Part Time,1,"9,0",2,"2,0",8,,1,1,"8339,32$",1989,"100071,84$",,,1
472,26,No,,290.03550973654063, Research & Development ,1,3,Medical,1,473,3,0,,3,1, lAboRaTory tECHNIciAN ,1,Single,"2342,59$","6090,75$",0,Y,No,13,"3,0",4,Part Time,0,"8,0",6,,7,,7,6,"2342,59$",1997,"28111,13$", lAboRaTory tECHNIciAN  -  Research & Development ,,1
473,27,No,travel_rarely,556.2566609977324,,9,3,,1,474,4,0,,3,2, Sales eXeCUtIVE ,4,,,"11681,39$",1,,,14,"3,0",1,Part Time,0,,5,,7,,0,7,,1996,"53914,11$",,,0
474,31,Yes,travel_frequently,556.2566609977324, Sales ,26,4,Marketing,1,475,1,0,,3,2, saLes eXECUTIVe ,4,,"4492,84$","11681,39$",1,Y,Yes,11,"3,0",3,Part Time,0,"10,0",4,"3,0",10,,0,8,"4492,84$",1992,"53914,11$", saLes eXECUTIVe  -  Sales ,,Yes
475,33,No,travel_frequently,556.2566609977324,,7,2,Life Sciences,1,476,4,0,,3,2, hEALTHcaRe rePrESentATIve ,3,Divorced,"4492,84$","11681,39$",1,,,20,,3,,3,"9,0",2,"3,0",9,,2,8,"4492,84$",1990,,,,Yes
476,31,No,,1032.4872861766066,,10,3,,1,477,3,1,,3,3, resEarch diReCtor ,3,Married,"8339,32$","21682,23$",4,,No,20,"4,0",3,Part Time,1,"13,0",2,"4,0",11,,4,8,"8339,32$",1992,"100071,84$",,,1
477,35,No,,525.984126984127,,9,4,Medical,1,478,2,0,,3,2, REseaRCH SCIENTIsT ,3,,,"11045,67$",1,,No,19,"3,0",2,Part Time,0,"10,0",5,"3,0",10,,0,8,,1988,"50980,00$",,,1
478,33,No,travel_rarely,556.2566609977324,,15,2,,1,479,2,1,,3,2, hEalthcarE ReprESeNTatiVe ,4,Married,"4492,84$","11681,39$",0,,Yes,13,,1,Part Time,1,,6,"3,0",9,,8,1,"4492,84$",1990,"53914,11$",,,Yes
479,39,No,travel_rarely,556.2566609977324,,24,1,Life Sciences,1,480,1,0,,3,2, resEaRcH SCieNTiST ,4,Single,"4492,84$","11681,39$",7,,No,13,,1,,0,,2,"3,0",7,,1,7,"4492,84$",1984,,,,False
480,36,No,travel_rarely,1032.4872861766066,,-46,3,,1,481,46,1,129.06091077207583,2,3, salEs ExECutIvE ,4,Marreid,,"21682,23$",0,Y,No,19,"3,0",3,Part Time,2,"10,0",2,"3,0",9,,3,4,,1987,"100071,84$",,,Yes
481,41,No,travel_rarely,1400.079365079365,,28,4,Life Sciences,1,482,1,1,,2,4, maNUfaCtuRINg dIReCTor ,2,Married,"11308,33$","29401,67$",0,Y,No,23,,3,Full Time,1,"21,0",3,"3,0",20,,0,10,"11308,33$",1982,"135700,00$",,,Yes
482,34,No,,692.5079365079365, Sales ,28,3,Marketing,1,483,4,1,,2,2, saLes EXEcuTiVe ,3,Married,,"14542,67$",1,Y,No,21,"4,0",4,Full Time,2,"8,0",2,"3,0",8,,1,7,,1989,"67120,00$", saLes EXEcuTiVe  -  Sales ,,False
483,38,No,travel_rarely,556.2566609977324,,10,2,,1,484,1,1,,3,2, SaLes exECutiVe ,4,Married,"4492,84$","11681,39$",1,,No,11,"3,0",3,,1,"10,0",1,"3,0",10,,1,9,"4492,84$",1985,,,,1
484,39,No,travel_rarely,1030.8174603174605,,6,1,,1,485,4,0,,2,3, hEALthcarE REPrESEnTATIve ,1,,"8325,83$","21647,17$",4,,,15,"3,0",1,Part Time,1,,5,"3,0",7,,1,7,"8325,83$",1984,"99910,00$",,,1
485,34,No,travel_rarely,1032.4872861766066,,7,4,,1,486,1,1,,3,3, reSeArch dIRectoR ,2,Single,,"21682,23$",0,,No,11,,3,Part Time,0,,4,"3,0",12,"6,0",2,11,,1989,"100071,84$",,,0
486,44,No,travel_rarely,1057.3333333333337,,7,4,Medical,1,487,1,1,,2,3, HeAlthCArE RePReSeNtaTIVe ,4,Married,"8540,00$","22204,00$",3,,,14,,4,Full Time,1,"24,0",4,"3,0",22,,5,17,"8540,00$",1979,"102480,00$",,,True
487,46,No,,556.2566609977324,,5,4,,1,488,1,0,,3,2, SAlES EXEcUtIve ,4,Single,"4492,84$","11681,39$",4,Y,,21,,3,Part Time,0,"14,0",4,"3,0",9,,0,8,"4492,84$",1977,"53914,11$",,,Yes
488,41,No,travel_frequently,1582.7713464696226, Research & Development ,10,3,Life Sciences,1,489,4,0,197.8464183087028,2,4, mAnaGeR ,1,Divorced,,"33238,20$",4,Y,,13,"3,0",2,Full Time,1,,2,"2,0",7,,7,7,,1982,"153407,07$", mAnaGeR  -  Research & Development ,,0
489,39,No,,1128.5238095238096, Research & Development ,2,4,,1,490,3,1,,3,3, HEALThCaRe rePResEnTaTivE ,3,Single,"9115,00$","23699,00$",0,,No,25,"4,0",4,,0,"20,0",1,"3,0",19,,11,8,"9115,00$",1984,, HEALThCaRe rePResEnTaTivE  -  Research & Development ,,0
490,42,No,travel_rarely,267.531746031746,,2,3,Medical,1,491,4,1,,2,1, labORAtOry tecHnICiAn ,1,Divorced,"2160,83$","5618,17$",0,,Yes,11,"3,0",3,Part Time,1,"10,0",4,"3,0",9,,7,8,"2160,83$",1981,"25930,00$",,,True
491,33,No,travel_frequently,1225.5079365079364, Research & Development ,5,4,,1,492,4,1,,3,3, mAnAgEr ,2,Married,"9898,33$","25735,67$",6,Y,,11,,2,,2,"12,0",2,"3,0",10,,8,8,"9898,33$",1990,, mAnAgEr  -  Research & Development ,,True
492,35,No,travel_rarely,835.1984126984128,,5,4,Technical Degree,1,493,3,0,,3,3, manUfacTUriNg dirEctOr ,2,Single,"6745,83$","17539,17$",0,,No,13,"3,0",4,Part Time,0,"17,0",5,"3,0",16,,0,13,"6745,83$",1988,"80950,00$",,,1
493,33,Yes,travel_rarely,1032.4872861766066,,15,1,Medical,1,494,2,0,,3,3, MaNager ,3,Married,,"21682,23$",7,,,12,"3,0",4,Part Time,0,"15,0",2,"4,0",7,,7,7,,1990,"100071,84$",,,True
494,40,No,travel_rarely,1582.7713464696226,,6,3,Life Sciences,1,495,2,1,,3,4, ManuFACTurInG dIreCToR ,3,Single,,"33238,20$",7,,No,15,"3,0",3,Full Time,0,"22,0",3,"3,0",20,,5,13,,1983,"153407,07$",,,False
495,41,No,travel_rarely,1973.9841269841268,,10,4,Human Resources,1,496,2,0,,2,5, mANager ,4,Divorced,"15943,72$","41453,67$",3,Y,No,15,"3,0",2,Full Time,3,"23,0",2,"2,0",21,,12,6,"15943,72$",1982,"191324,62$",,,0
496,27,No,,556.2566609977324,,7,3,,1,497,4,1,,2,2, heAlthCARE REPresentAtivE ,1,,,"11681,39$",8,,No,19,"3,0",1,Part Time,0,,2,"1,0",7,,0,7,,1996,"53914,11$",,,False
497,52,No,travel_rarely,1739.1111111111113,,3,4,Marketing,1,498,3,0,,2,4, mANager ,1,,"14046,67$","36521,33$",1,,,11,"3,0",1,Full Time,0,,3,"4,0",34,,1,16,"14046,67$",1971,"168560,00$",,,Yes
498,51,No,travel_rarely,1582.7713464696226,,26,4,Marketing,1,499,1,1,197.8464183087028,3,4, MaNaGer ,3,Married,"12783,92$","33238,20$",2,,No,14,"3,0",3,Full Time,1,,2,"2,0",20,,4,17,"12783,92$",1972,"153407,07$",,,False
499,47,No,travel_rarely,468.1031746031746,,2,2,Marketing,1,500,3,1,,3,2, sAlEs ExECUtiVE ,4,,"3780,83$","9830,17$",0,,,22,"4,0",1,Part Time,1,"8,0",2,"3,0",7,,7,7,"3780,83$",1976,"45370,00$",,,Yes
500,50,No,non-travel,1849.301587301588, Research & Development ,2,4,,1,501,1,0,,3,4, MaNageR ,1,Divorced,,"38835,33$",1,Y,,11,"3,0",4,Full Time,1,"31,0",3,"3,0",31,,14,7,,1973,"179240,00$", MaNageR  -  Research & Development ,,False
501,35,No,travel_rarely,414.1428571428571, Research & Development ,21,1,Life Sciences,1,502,4,1,,3,2, HeAlThCarE rEpreSentatiVe ,4,Married,"3345,00$","8697,00$",1,,,25,"4,0",4,Part Time,1,"10,0",2,"1,0",10,,0,7,"3345,00$",1988,"40140,00$", HeAlThCarE rEpreSentatiVe  -  Research & Development ,,True
502,39,No,travel_rarely,1314.6507936507935,,1,1,,1,503,4,1,164.33134920634922,2,4, MANuFaCTURiNG DIrEctOr ,4,Married,"10618,33$","27607,67$",1,,No,16,"3,0",3,Full Time,1,,3,"3,0",21,,11,8,"10618,33$",1984,"127420,00$",,,True
503,39,No,travel_frequently,1032.4872861766066,,22,3,Medical,1,504,4,1,,3,3, MaNUFaCtURINg dIrEcToR ,1,Single,"8339,32$","21682,23$",1,,,13,"3,0",3,Part Time,0,,2,"3,0",21,,2,8,"8339,32$",1984,"100071,84$",,,0
504,41,No,,348.3174603174604,,7,2,,1,505,2,1,43.53968253968255,4,1, reseaRcH SCIEnTisT ,3,,,"7314,67$",1,,No,13,"3,0",3,Full Time,0,,3,"3,0",10,,0,8,,1982,"33760,00$",,,False
505,44,Yes,,1081.4761904761906, Human Resources ,1,2,Medical,1,506,2,0,,2,3, HUMAN ResoURCeS ,1,Married,"8735,00$","22711,00$",9,,No,14,,4,Full Time,1,"24,0",1,"3,0",20,,3,6,"8735,00$",1979,"104820,00$", HUMAN ResoURCeS  -  Human Resources ,,Yes
506,42,No,,1582.7713464696226,,2,2,Medical,1,507,4,0,,3,4, MAnagER ,1,,"12783,92$","33238,20$",0,,No,17,"3,0",4,,1,"23,0",3,"3,0",22,,13,7,"12783,92$",1981,,,,False
507,52,No,travel_rarely,1032.4872861766066,,7,4,Life Sciences,1,508,2,0,,3,3, healThCaRE RepREsEntAtIve ,2,Single,,"21682,23$",7,Y,,19,"3,0",4,Part Time,0,"18,0",4,,8,,4,0,,1971,"100071,84$",,,Yes
508,38,No,,290.03550973654063,,1,3,,1,509,3,0,36.25443871706758,4,1, hUmAN ReSouRCes ,3,,"2342,59$","6090,75$",1,,No,13,"3,0",4,Part Time,1,"7,0",2,"4,0",7,,5,0,"2342,59$",1985,"28111,13$",,,1
509,46,No,,290.03550973654063, Human Resources ,1,2,Life Sciences,1,510,4,1,36.25443871706758,3,1, huMAn ResOurces ,1,,,"6090,75$",6,,,12,"3,0",3,Part Time,0,"10,0",3,"4,0",7,,5,7,,1977,"28111,13$", huMAn ResOurces  -  Human Resources ,,True
510,35,No,,438.3888888888889,,4,4,Life Sciences,1,511,3,0,54.79861111111112,3,2, rESEArCh sCIEnTiST ,3,Single,"3540,83$","9206,17$",1,,,11,"3,0",2,Part Time,0,,3,"3,0",9,,1,1,"3540,83$",1988,"42490,00$",,,False
511,28,No,travel_rarely,675.6904761904763, Research & Development ,29,1,Life Sciences,1,512,3,0,,1,2, mANUfacTURiNG dIRectOR ,2,Married,"5457,50$","14189,50$",1,,,14,,2,,2,"8,0",2,"2,0",8,,1,7,"5457,50$",1995,, mANUfacTURiNG dIRectOR  -  Research & Development ,,1
512,44,No,,1582.7713464696226,,28,3,Life Sciences,1,513,4,0,,3,4, resEaRCh dIrEcTOR ,1,Married,"12783,92$","33238,20$",3,,No,13,"3,0",3,,1,,1,"4,0",20,,14,17,"12783,92$",1979,,,,1
513,50,No,,1486.8492063492065,,22,5,,1,514,3,0,,1,4, ReseaRCh directoR ,4,,"12009,17$","31223,83$",1,,,13,"3,0",4,,0,,2,"3,0",32,,13,9,"12009,17$",1973,,,,0
514,55,No,travel_rarely,2020.7777777777776,,-23,5,Marketing,1,515,3,0,252.59722222222223,2,5, MAnagER ,4,,,"42436,33$",1,Y,No,21,"4,0",3,Full Time,1,"36,0",3,"3,0",36,,2,13,,1968,"195860,00$",,,1
515,39,No,,849.8492063492063, Sales ,6,3,,1,516,4,0,,4,3, saLES eXEcUTiVE ,3,Married,"6864,17$","17846,83$",2,Y,No,11,"3,0",1,Part Time,1,"11,0",3,"3,0",7,,7,6,"6864,17$",1984,"82370,00$", saLES eXEcUTiVE  -  Sales ,,True
516,49,No,,331.29365079365084, Research & Development ,-13,4,,1,517,13,1,,3,1, labORaTORY teChNIcIaN ,1,,"2675,83$","6957,17$",1,,,14,"3,0",4,,1,"10,0",3,"2,0",9,,1,4,"2675,83$",1974,, labORaTORY teChNIcIaN  -  Research & Development ,,True
517,45,No,,1723.4285714285716,,28,2,Technical Degree,1,518,4,1,,2,4, rESeaRch DiREctor ,2,Single,"13920,00$","36192,00$",1,,,11,,3,,0,"21,0",2,"3,0",21,"6,0",8,6,"13920,00$",1978,,,,False
518,46,No,,1032.4872861766066,,2,3,,1,519,3,0,,3,3, saleS ExeCUTIVe ,4,,"8339,32$","21682,23$",4,,,12,"3,0",2,Part Time,1,,5,"2,0",10,,0,3,"8339,32$",1977,"100071,84$",,,False
519,27,No,,492.5555555555556,,15,3,,1,520,4,1,,2,1, ResEarCh SCiEnTist ,1,Married,,"10343,67$",0,,No,19,"3,0",4,Full Time,1,,2,,7,,7,3,,1996,"47740,00$",,,0
520,42,No,travel_rarely,1973.9841269841268,,2,3,,1,521,1,0,,3,5, ManagEr ,3,Married,"15943,72$","41453,67$",5,,,11,"3,0",1,,0,"24,0",2,"2,0",22,,4,14,"15943,72$",1981,,,,1
521,49,No,,556.2566609977324, Sales ,2,3,,1,522,4,0,,2,2, saLes eXeCUTivE ,2,Married,,"11681,39$",2,,,14,"3,0",4,Part Time,0,"17,0",3,"2,0",9,,0,8,,1974,"53914,11$", saLes eXeCUTivE  -  Sales ,,True
522,29,No,travel_rarely,556.2566609977324,,15,2,Life Sciences,1,523,4,1,,2,2, laborAtOry tEChniCIAn ,3,Single,,"11681,39$",0,,Yes,12,"3,0",4,Part Time,0,"10,0",3,"3,0",9,,0,8,,1994,"53914,11$",,,True
523,34,No,non-travel,471.3015873015873,,-12,4,Marketing,1,524,12,0,,3,2, SalES exECutIVe ,3,,"3806,67$","9897,33$",0,Y,No,20,"4,0",3,Part Time,0,,2,"3,0",9,,8,7,"3806,67$",1989,"45680,00$",,,False
524,37,No,,618.3253968253969,,1,4,,1,525,1,0,,2,2, manUFACtURinG DIREcTOR ,3,Divorced,"4994,17$","12984,83$",1,,No,18,"3,0",3,,1,,2,,7,,0,7,"4994,17$",1986,"59930,00$",,,False
525,36,No,,670.5317460317461,,11,3,,1,526,2,0,83.81646825396827,2,2, ManUFaCtURInG dIReCToR ,2,Single,"5415,83$","14081,17$",1,Y,No,13,"3,0",3,Full Time,0,"6,0",3,"3,0",6,,0,3,"5415,83$",1987,"64990,00$",,,True
526,45,No,,356.1587301587302,,29,3,,1,527,3,0,,3,1, rESEArch SciEntIST ,4,Single,,"7479,33$",5,,,13,"3,0",2,Full Time,0,"9,0",2,"2,0",6,,0,3,,1978,"34520,00$",,,1
527,29,No,travel_rarely,290.03550973654063,,15,3,,1,528,3,0,,3,1, reSearch sCienTiSt ,4,,,"6090,75$",1,,No,19,"3,0",1,Part Time,0,"6,0",1,"3,0",6,,1,5,,1994,"28111,13$",,,False
528,26,No,,660.0079365079365,,1,3,,1,529,3,1,,3,2, manUFaCTUriNg DIrectOR ,2,,"5330,83$","13860,17$",1,,No,20,"4,0",1,Full Time,1,"6,0",6,"1,0",6,,1,4,"5330,83$",1997,"63970,00$",,,False
529,28,No,,556.2566609977324,,9,4,Life Sciences,1,530,2,0,,3,2, saLes exEcutiVE ,4,Single,,"11681,39$",1,Y,No,16,"3,0",4,Part Time,0,,1,"3,0",7,,0,7,,1995,"53914,11$",,,1
530,42,No,travel_frequently,556.2566609977324,,-30,4,Technical Degree,1,531,4,1,,2,2, HeALthcare RePREsENTativE ,4,Married,,"11681,39$",0,Y,No,11,"3,0",4,,3,"7,0",4,"4,0",6,,0,4,,1981,"53914,11$",,,Yes
531,31,No,travel_rarely,556.2566609977324, Sales ,2,1,Life Sciences,1,532,2,0,,3,2, Sales exECutIVE ,4,,,"11681,39$",4,,Yes,13,"3,0",3,Part Time,0,"10,0",2,"4,0",6,,0,5,,1992,"53914,11$", Sales exECutIVE  -  Sales ,,True
532,37,No,travel_rarely,1032.4872861766066,,-47,3,,1,533,47,1,,3,3, MAnUfaCTUrINg dIrEctor ,4,Single,"8339,32$","21682,23$",4,Y,,17,"3,0",4,Part Time,0,,3,"4,0",6,,1,2,"8339,32$",1986,"100071,84$",,,Yes
533,37,No,non-travel,1032.4872861766066,,9,4,,1,534,1,0,,3,3, sALES ExEcUTiVE ,2,Divorced,,"21682,23$",1,Y,No,13,"3,0",4,Part Time,1,"9,0",6,"3,0",9,,7,7,,1986,"100071,84$",,,0
534,37,No,travel_rarely,556.2566609977324,,1,4,Life Sciences,1,535,2,1,69.53208262471655,3,2, mANUfacTurING dirECtOr ,2,Married,"4492,84$","11681,39$",6,,,12,"3,0",2,Part Time,1,"8,0",2,"2,0",6,,4,3,"4492,84$",1986,"53914,11$",,,0
535,24,No,travel_rarely,281.1507936507937,,23,3,Medical,1,536,2,0,,4,1, REseaRCH SCiEntIst ,4,,,"5904,17$",1,,,11,"3,0",2,Part Time,2,,3,"3,0",6,,1,4,,1999,"27250,00$",,,1
536,50,No,,1973.9841269841268,,3,3,,1,537,1,0,,3,5, manaGer ,2,Married,"15943,72$","41453,67$",1,,No,11,"3,0",3,,1,,2,"3,0",32,,10,7,"15943,72$",1973,,,,False
537,34,No,,373.6984126984127,,1,2,Life Sciences,1,538,2,0,46.71230158730159,2,1, RESEarCh SCIeNtIst ,4,,"3018,33$","7847,67$",1,,Yes,13,"3,0",4,Full Time,1,"6,0",3,"3,0",6,,1,3,"3018,33$",1989,"36220,00$",,,True
538,27,No,travel_frequently,556.2566609977324,,3,1,Medical,1,539,4,1,,4,2, saLES ExecUTIvE ,4,,,"11681,39$",1,,,20,,2,,2,,3,"3,0",6,,0,4,,1996,"53914,11$",,,0
539,25,No,,637.6190476190476, Sales ,-42,1,,1,540,42,1,,3,2, saleS eXEcuTIvE ,4,Single,,"13390,00$",1,Y,No,23,"4,0",2,Full Time,0,"6,0",5,"2,0",6,,1,4,,1998,"61800,00$", saleS eXEcuTIvE  -  Sales ,,False
540,34,No,,647.3174603174604, Sales ,-25,3,Other,1,541,4,0,,3,2, SALes ExeCUtive ,4,Single,"5228,33$","13593,67$",1,Y,No,22,"4,0",3,Full Time,0,"6,0",5,"3,0",6,,1,4,"5228,33$",1989,"62740,00$", SALes ExeCUtive  -  Sales ,,Yes
541,34,No,,452.00793650793656, Research & Development ,2,4,,1,542,3,1,,2,1, reSearCH SCieNtIst ,1,,,"9492,17$",1,Y,,11,,3,Full Time,0,"6,0",3,"3,0",6,,1,3,,1989,"43810,00$", reSearCH SCieNtIst  -  Research & Development ,,1
542,35,No,,1032.4872861766066,,7,3,Other,1,543,3,0,,3,3, MaNufaCtUrINg DirecTOr ,3,Single,"8339,32$","21682,23$",3,Y,No,21,"4,0",2,,0,"17,0",3,"4,0",8,,1,6,"8339,32$",1988,,,,False
543,35,No,,264.0238095238095,,-16,1,Medical,1,544,16,1,33.00297619047619,2,1, RESeArcH SCIENtist ,1,,,"5544,50$",1,,,11,"3,0",4,Part Time,0,"6,0",3,"2,0",6,,1,1,,1988,"25590,00$",,,0
544,33,No,,566.2222222222222, Research & Development ,1,4,,1,545,3,1,70.77777777777777,4,2, HEALThcaRe RePresENtaTiVE ,2,Married,"4573,33$","11890,67$",1,Y,Yes,13,"3,0",1,Full Time,1,,2,"3,0",6,,1,2,"4573,33$",1990,"54880,00$", HEALThcaRe RePresENtaTiVE  -  Research & Development ,,True
545,29,No,,259.3809523809524,,28,4,Life Sciences,1,546,3,1,,3,1, ResEaRcH scIEnTIsT ,4,Divorced,"2095,00$","5447,00$",4,Y,No,22,"4,0",1,Part Time,1,"11,0",1,"3,0",7,,1,7,"2095,00$",1994,"25140,00$",,,0
